experiment_name,dgp,seed,n_train,variation,rmse_credible,coverage_credible,gr_rmse_credible,ess_rmse_credible,rmse_predictive,coverage_predictive,gr_rmse_predictive,ess_rmse_predictive,rmse_pred_vs_true,coverage_pred_vs_true,gr_rmse_pred_vs_true,ess_rmse_pred_vs_true
Burn-in,1199_BNG_echoMonths,23,200,nskip_5000,12.192591204036482,0.5982142857142857,1.0000866402856212,36995.07992155421,12.192346478839543,0.9111428571428571,1.0000309602066098,39788.20015346985,12.192346478839543,0.9111428571428571,1.0000309602066098,39788.20015346985
Burn-in,1199_BNG_echoMonths,24,200,nskip_5000,11.909407994409918,0.5985714285714285,1.000066432867628,49022.718647325266,11.907899895695305,0.9636428571428571,1.0000257607632448,48388.35664243348,11.907899895695305,0.9636428571428571,1.0000257607632448,48388.35664243348
Burn-in,1199_BNG_echoMonths,25,200,nskip_5000,12.258520838513448,0.5782857142857143,0.9999870154682416,42016.25775535444,12.25830003509397,0.9216428571428572,0.9999959304832559,45112.197987830514,12.25830003509397,0.9216428571428572,0.9999959304832559,45112.197987830514
Burn-in,1199_BNG_echoMonths,1,500,nskip_10000,11.667004158325796,0.5200714285714285,1.0001372500406889,21413.953383193482,11.668015032347764,0.9434285714285714,1.0001446487139545,44814.91521037504,11.668015032347764,0.9434285714285714,1.0001446487139545,44814.91521037504
Burn-in,1199_BNG_echoMonths,2,500,nskip_10000,12.032357143684358,0.5396428571428571,1.0001969544171412,22510.9929440827,12.033864888420144,0.9227142857142856,1.000054416791784,45186.40276585808,12.033864888420144,0.9227142857142856,1.000054416791784,45186.40276585808
Burn-in,1199_BNG_echoMonths,3,500,nskip_10000,12.03877391670894,0.49450000000000005,1.0000777943977848,30708.174043280655,12.040721553064174,0.9482857142857143,1.0000367642011343,53303.09379075623,12.040721553064174,0.9482857142857143,1.0000367642011343,53303.09379075623
Burn-in,1199_BNG_echoMonths,4,500,nskip_10000,12.061505829714976,0.5354285714285715,1.0000734741243218,22886.60794908843,12.063006184913004,0.9482142857142857,0.9999969575750953,44610.57258113359,12.063006184913004,0.9482142857142857,0.9999969575750953,44610.57258113359
Burn-in,1199_BNG_echoMonths,5,500,nskip_10000,11.706342606408366,0.5275714285714286,1.0000387849649903,28767.803168561637,11.707093132045486,0.9594285714285714,1.0000232136855645,51548.04690650332,11.707093132045486,0.9594285714285714,1.0000232136855645,51548.04690650332
Burn-in,1199_BNG_echoMonths,6,500,nskip_10000,12.196083295080687,0.5466428571428572,1.0002787028203541,23383.336622106086,12.197037205869885,0.9486428571428571,0.9999716133212764,46817.18619545821,12.197037205869885,0.9486428571428571,0.9999716133212764,46817.18619545821
Burn-in,1199_BNG_echoMonths,7,500,nskip_10000,11.859311434484152,0.5032857142857143,1.0001377831414855,21474.301618397873,11.859791641388732,0.9279999999999999,0.9999897978497978,51713.31085197388,11.859791641388732,0.9279999999999999,0.9999897978497978,51713.31085197388
Burn-in,1199_BNG_echoMonths,8,500,nskip_10000,12.115243372544162,0.5149285714285714,1.0002357454997077,22768.492650997796,12.115489583642965,0.9402857142857142,0.9999823933823575,49048.80157402903,12.115489583642965,0.9402857142857142,0.9999823933823575,49048.80157402903
Burn-in,1199_BNG_echoMonths,9,500,nskip_10000,11.853400768525766,0.5658571428571428,1.0000553304198194,22258.277910652523,11.855517298902205,0.9628571428571429,1.0000940900725652,43596.90225430738,11.855517298902205,0.9628571428571429,1.0000940900725652,43596.90225430738
Burn-in,1199_BNG_echoMonths,10,500,nskip_10000,12.021385727221077,0.5159285714285714,1.0001930032755182,21774.232004537072,12.02173906318787,0.9400714285714286,1.0000193946359384,44917.6487763551,12.02173906318787,0.9400714285714286,1.0000193946359384,44917.6487763551
Burn-in,1199_BNG_echoMonths,11,500,nskip_10000,12.291023649013283,0.5134285714285713,0.999995383614973,30576.439605236283,12.291904610966565,0.9415,1.000028140638777,51965.77654881128,12.291904610966565,0.9415,1.000028140638777,51965.77654881128
Burn-in,1199_BNG_echoMonths,12,500,nskip_10000,11.893444081793223,0.536,1.0001544669254752,25735.961895152446,11.893215351871783,0.9537857142857143,1.0000348298037824,50867.082245205704,11.893215351871783,0.9537857142857143,1.0000348298037824,50867.082245205704
Burn-in,1199_BNG_echoMonths,13,500,nskip_10000,12.095422832797347,0.5177857142857143,1.0001987748638097,24409.043921580993,12.095789494557012,0.9549285714285713,0.9999980713354588,48654.99718782149,12.095789494557012,0.9549285714285713,0.9999980713354588,48654.99718782149
